0.99,0.05,3.94,0.16,2.138845663
1,0.04,2.81,0.09,2.290683657
0.88,0.06,2.97,0.13,1.326062056
0.95,0.05,2.97,0.1,1.723713011
0.86,0.04,2.94,0.11,1.244893649
0.84,0.07,3.11,0.11,1.201818363
1.08,0.04,2.76,0.07,3.953960847
1.03,0.07,3.38,0.17,2.659617824
0.86,0.08,3.4,0.2,1.273769637
0.74,0.08,2.91,0.18,1.084111241
0.85,0.09,3.42,0.25,1.258025632
0.92,0.05,2.96,0.14,1.513016457
0.69,0.09,2.88,0.2,1.115472361
1.01,0.05,2.87,0.08,2.419878769
0.92,0.05,2.82,0.08,1.513016457
1.02,0.09,2.9,0.26,2.433730979
0.72,0.03,2.69,0.11,1.024020302
0.96,0.05,2.85,0.1,1.811282635
1.08,0.1,2.88,0.17,3.326256133
1.15,0.03,2.49,0.07,5.848222273
0.56,0.05,2.96,0.11,1.329880858
0.9,0.06,2.82,0.11,1.414553137
0.8,0.05,3.01,0.12,1.089281132
0.93,0.04,2.71,0.09,1.565126047
0.66,0.05,2.63,0.11,1.113875115
0.79,0.03,3.12,0.1,1.047675857
0.87,0.05,2.73,0.1,1.281747466
1.02,0.04,2.99,0.11,2.617438604
0.95,0.05,3.05,0.11,1.723713011
0.91,0.05,2.58,0.09,1.457053381
0.87,0.04,2.78,0.1,1.279100633
1,0.03,2.87,0.07,2.305954634
0.82,0.03,2.85,0.11,1.121124677
0.88,0.04,2.62,0.1,1.315534327
1.03,0.04,2.75,0.1,2.804543136
0.74,0.05,2.72,0.09,1.03739079
0.88,0.05,2.84,0.11,1.31976829
0.88,0.05,2.78,0.09,1.31976829
0.85,0.04,2.62,0.1,1.212399209
0.91,0.03,2.82,0.09,1.435298752
0.78,0.03,2.81,0.08,1.031408496
0.9,0.11,2.58,0.21,1.468953343
0.76,0.03,3.08,0.07,1.012284706
0.78,0.04,2.68,0.09,1.044677992
0.72,0.04,2.67,0.15,1.033543314
0.72,0.02,2.74,0.07,1.016274398
0.82,0.05,2.83,0.09,1.131417438
0.28,0.11,2.87,0.17,4.217998688
0.69,0.06,3.14,0.22,1.079807496
0.61,0.02,3.14,0.06,1.187826395
0.51,0.1,3.2,0.17,1.582842063
1.06,0.03,2.87,0.06,3.537216911
0.93,0.04,2.67,0.09,1.565126047
1,0.03,3.03,0.08,2.305954634
0.91,0.06,2.68,0.15,1.465548037
0.58,0.08,3.09,0.24,1.295996749
0.79,0.06,3.13,0.13,1.086866158
0.69,0.03,3.64,0.11,1.065797054
0.79,0.03,3.46,0.09,1.047675857
0.59,0.03,2.71,0.06,1.227866803
1.18,0.04,3.3,0.12,6.663543623
1.13,0.04,2.98,0.12,5.262225479
