0.99,0.05,0.96,0.03,2.138845663
1,0.04,0.94,0.02,2.290683657
0.88,0.06,0.89,0.03,1.326062056
0.95,0.05,0.92,0.02,1.723713011
0.86,0.04,0.91,0.01,1.244893649
0.84,0.07,0.87,0.02,1.201818363
1.08,0.04,1.07,0.03,3.953960847
1.03,0.07,1.18,0.05,2.659617824
0.86,0.08,1.11,0.05,1.273769637
0.74,0.08,1.08,0.04,1.084111241
0.85,0.09,1.01,0.04,1.258025632
0.92,0.05,0.96,0.03,1.513016457
0.69,0.09,0.84,0.02,1.115472361
1.01,0.05,0.88,0.03,2.419878769
0.92,0.05,0.91,0.03,1.513016457
1.02,0.09,0.86,0.02,2.433730979
0.72,0.03,0.81,0.01,1.024020302
0.96,0.05,0.88,0.01,1.811282635
1.08,0.1,0.88,0.02,3.326256133
1.15,0.03,0.96,0.02,5.848222273
0.56,0.05,0.95,0.03,1.329880858
0.9,0.06,0.94,0.03,1.414553137
0.8,0.05,0.87,0.01,1.089281132
0.93,0.04,0.9,0.03,1.565126047
0.66,0.05,0.86,0.02,1.113875115
0.79,0.03,0.95,0.01,1.047675857
0.87,0.05,0.91,0.02,1.281747466
1.02,0.04,0.85,0.02,2.617438604
0.95,0.05,0.8,0.02,1.723713011
0.91,0.05,0.94,0.03,1.457053381
0.87,0.04,0.87,0.02,1.279100633
1,0.03,0.92,0.03,2.305954634
0.82,0.03,0.88,0.01,1.121124677
0.88,0.04,0.92,0.02,1.315534327
1.03,0.04,0.96,0.02,2.804543136
0.74,0.05,0.84,0.02,1.03739079
0.88,0.05,0.89,0.03,1.31976829
0.88,0.05,0.86,0.01,1.31976829
0.85,0.04,0.86,0.02,1.212399209
0.91,0.03,0.89,0.01,1.435298752
0.78,0.03,0.89,0.01,1.031408496
0.9,0.11,1.09,0.06,1.468953343
0.76,0.03,0.91,0.02,1.012284706
0.78,0.04,0.89,0.02,1.044677992
0.72,0.04,0.91,0.01,1.033543314
