0.99,0.05,4.551,0.006,2.13884566
1,0.04,4.636,0.003,2.29068366
0.88,0.06,4.561,0.005,1.32606206
0.95,0.05,4.577,0.005,1.72371301
0.86,0.04,4.579,0.003,1.24489365
0.84,0.07,4.587,0.004,1.20181836
1.08,0.04,4.578,0.006,3.95396085
1.03,0.07,4.606,0.009,2.65961782
0.86,0.08,4.577,0.011,1.27376964
0.74,0.08,4.61,0.008,1.08411124
0.85,0.09,4.552,0.007,1.25802563
0.92,0.05,4.538,0.008,1.51301646
0.69,0.09,4.612,0.006,1.11547236
1.01,0.05,4.585,0.006,2.41987877
0.92,0.05,4.597,0.005,1.51301646
1.02,0.09,4.609,0.004,2.43373098
0.72,0.03,4.596,0.002,1.0240203
0.96,0.05,4.598,0.004,1.81128263
1.08,0.1,4.591,0.004,3.32625613
1.15,0.03,4.626,0.004,5.84822227
0.56,0.05,4.575,0.005,1.32988086
0.9,0.06,4.607,0.004,1.41455314
0.8,0.05,4.588,0.003,1.08928113
0.93,0.04,4.606,0.005,1.56512605
0.66,0.05,4.591,0.003,1.11387511
0.79,0.03,4.592,0.003,1.04767586
0.87,0.05,4.597,0.004,1.28174747
1.02,0.04,4.578,0.005,2.6174386
0.95,0.05,4.577,0.003,1.72371301
0.91,0.05,4.589,0.005,1.45705338
0.87,0.04,4.585,0.004,1.27910063
1,0.03,4.587,0.005,2.30595463
0.82,0.03,4.595,0.002,1.12112468
0.88,0.04,4.597,0.004,1.31553433
1.03,0.04,4.611,0.004,2.80454314
0.74,0.05,4.589,0.004,1.03739079
0.88,0.05,4.631,0.007,1.31976829
0.88,0.05,4.575,0.004,1.31976829
0.85,0.04,4.593,0.003,1.21239921
0.91,0.03,4.606,0.003,1.43529875
0.78,0.03,4.584,0.003,1.0314085
0.9,0.11,4.56,0.009,1.46895334
0.76,0.03,4.582,0.005,1.01228471
0.78,0.04,4.598,0.003,1.04467799
0.72,0.04,4.594,0.003,1.03354331
0.72,0.02,4.587,0.002,1.0162744
0.82,0.05,4.625,0.005,1.13141744
0.28,0.11,4.598,0.005,4.21799869
0.69,0.06,4.662,0.014,1.0798075
0.61,0.02,4.574,0.003,1.18782639
0.51,0.1,4.544,0.014,1.58284206
1.06,0.03,4.589,0.002,3.53721691
0.93,0.04,4.589,0.003,1.56512605
1,0.03,4.574,0.004,2.30595463
0.91,0.06,4.593,0.005,1.46554804
0.58,0.08,4.554,0.008,1.29599675
0.79,0.06,4.589,0.005,1.08686616
0.69,0.03,4.597,0.003,1.06579705
0.79,0.03,4.639,0.037,1.04767586
0.59,0.03,4.581,0.003,1.2278668
1.18,0.04,4.616,0.005,6.66354362
1.13,0.04,4.611,0.004,5.26222548
1.16,0.07,4.605,0.007,5.79004713
0.82,0.13,4.57,0.004,1.26605987
0.79,0.1,4.603,0.006,1.15584597
0.53,0.07,4.588,0.01,1.4650726
0.93,0.07,4.553,0.012,1.5913059
0.61,0.06,4.592,0.008,1.20538615
0.82,0.05,4.619,0.004,1.13141744
0.58,0.03,4.599,0.003,1.25043327
0.81,0.02,4.614,0.007,1.08679578
0.57,0.11,4.567,0.008,1.35883365
0.52,0.04,4.584,0.006,1.49249031
0.69,0.05,4.59,0.003,1.07265428
-0.08,0.11,4.588,0.006,21.4423077
0.01,0.04,4.582,0.007,13.267018
0.18,0.02,4.582,0.006,6.90776742
0.46,0.03,4.57,0.011,1.89609063
-0.17,0.09,4.567,0.018,40.8489528
-0.04,0.06,4.585,0.005,18.3746743
0.1,0.03,4.584,0.003,9.7251043
-0.02,0.09,4.729,0.077,15.8208296
0.47,0.06,4.599,0.003,1.80988555
0.94,0.05,4.554,0.008,1.64542863
0.35,0.06,4.619,0.003,3.36065977
0.69,0.04,4.575,0.01,1.06809356
0.81,0.04,4.576,0.005,1.10000623
0.07,0.05,4.564,0.004,10.594158
0.82,0.04,4.59,0.002,1.12483568
0.89,0.03,4.572,0.007,1.34833812
0.88,0.05,4.587,0.002,1.31976829
0.73,0.03,4.617,0.002,1.01541672
0.94,0.07,4.608,0.004,1.65903211
0.43,0.03,4.583,0.004,2.16822358
0.89,0.04,4.606,0.003,1.35501089
0.68,0.04,4.589,0.002,1.08271943
0.76,0.06,4.593,0.004,1.0578822
0.72,0.07,4.606,0.004,1.07050679
0.8,0.07,4.589,0.007,1.11679683
0.69,0.07,4.609,0.005,1.08949091
0.71,0.04,4.596,0.004,1.04299074
0.81,0.06,4.592,0.006,1.1202925
0.76,0.03,4.592,0.004,1.01228471
0.78,0.02,4.618,0.007,1.02058197
0.8,0.08,4.582,0.008,1.13298436
0.97,0.09,4.563,0.007,1.89732588
0.92,0.04,4.58,0.005,1.5024995
1.09,0.08,4.558,0.01,3.73328348
0.21,0.02,4.642,0.005,6.43046684
0.79,0.04,4.565,0.004,1.05957786
0.77,0.05,4.659,0.004,1.04886579
0.82,0.07,4.598,0.004,1.15377861
0.92,0.03,4.583,0.005,1.48998321
0.86,0.09,4.611,0.006,1.28813435
0.99,0.04,4.579,0.003,2.14992232
0.54,0.12,4.584,0.006,1.47236154
0.8,0.08,4.601,0.004,1.13298436
0.87,0.07,4.806,0.024,1.29642255
0.88,0.03,4.618,0.005,1.31263802
0.7,0.03,4.608,0.005,1.04988058
0.75,0.05,4.606,0.004,1.03807258
0.67,0.03,4.552,0.005,1.09980762
0.62,0.04,4.572,0.005,1.17795605
0.49,0.07,4.554,0.007,1.67548074
0.76,0.02,4.609,0.003,1.00142159
1.01,0.07,4.611,0.005,2.3636949
0.91,0.03,4.575,0.005,1.43529875
0.99,0.07,4.64,0.008,2.11413373
0.63,0.11,4.647,0.009,1.21886343
0.84,0.09,4.604,0.007,1.23099325
